,Capital,slippage,slippagePerCap,window_rolling,Y_threshold,max_hold_period,stopLossesPercent,takePercent,shift_param,time_barrier_param,variance_ratio_lookback,variance_ration_carette,result,total_pnl
162,100000,10,0.0001,691T,106.66666666666666,343T,"{'BuyLossPercent': 0.018000000000000002, 'SellLossPercent': 0.018000000000000002}","{'SellTakePercent': 0.022666666666666665, 'BuyTakePercent': 0.022666666666666665}",691,343,0 days 23:02:00,0 days 00:34:33,-0.999,-120501.83145580263
163,100000,10,0.0001,173T,60.0,201T,"{'BuyLossPercent': 0.012666666666666666, 'SellLossPercent': 0.012666666666666666}","{'SellTakePercent': 0.022666666666666665, 'BuyTakePercent': 0.022666666666666665}",173,201,0 days 05:46:00,0 days 00:34:36,-1.0052,-117229.19723526482
164,100000,10,0.0001,846T,200.0,166T,"{'BuyLossPercent': 0.018000000000000002, 'SellLossPercent': 0.018000000000000002}","{'SellTakePercent': 0.01, 'BuyTakePercent': 0.01}",846,166,1 days 04:12:00,0 days 00:42:18,-0.9936,-41302.038594504156
165,100000,10,0.0001,121T,153.33333333333331,166T,"{'BuyLossPercent': 0.007333333333333334, 'SellLossPercent': 0.007333333333333334}","{'SellTakePercent': 0.035333333333333335, 'BuyTakePercent': 0.035333333333333335}",121,166,0 days 04:02:00,0 days 00:24:12,-0.9862,-54537.87334210456
166,100000,10,0.0001,121T,200.0,343T,"{'BuyLossPercent': 0.007333333333333334, 'SellLossPercent': 0.007333333333333334}","{'SellTakePercent': 0.035333333333333335, 'BuyTakePercent': 0.035333333333333335}",121,343,0 days 04:02:00,0 days 00:24:12,-0.4402,-6060.33154168034
167,100000,10,0.0001,950T,153.33333333333331,201T,"{'BuyLossPercent': 0.002, 'SellLossPercent': 0.002}","{'SellTakePercent': 0.01, 'BuyTakePercent': 0.01}",950,201,1 days 07:40:00,0 days 00:47:30,-1.0001,-2831070.6534697674
168,100000,10,0.0001,277T,60.0,272T,"{'BuyLossPercent': 0.007333333333333334, 'SellLossPercent': 0.007333333333333334}","{'SellTakePercent': 0.022666666666666665, 'BuyTakePercent': 0.022666666666666665}",277,272,0 days 09:14:00,0 days 00:55:24,-0.9986,-196459.90312749532
169,100000,10,0.0001,691T,60.0,379T,"{'BuyLossPercent': 0.002, 'SellLossPercent': 0.002}","{'SellTakePercent': 0.035333333333333335, 'BuyTakePercent': 0.035333333333333335}",691,379,0 days 23:02:00,0 days 02:18:12,-1.0,-6775219.3505724175
170,100000,10,0.0001,691T,153.33333333333331,60T,"{'BuyLossPercent': 0.012666666666666666, 'SellLossPercent': 0.012666666666666666}","{'SellTakePercent': 0.035333333333333335, 'BuyTakePercent': 0.035333333333333335}",691,60,0 days 23:02:00,0 days 00:34:33,-0.9988,-192290.91466290195
171,100000,10,0.0001,277T,106.66666666666666,414T,"{'BuyLossPercent': 0.012666666666666666, 'SellLossPercent': 0.012666666666666666}","{'SellTakePercent': 0.022666666666666665, 'BuyTakePercent': 0.022666666666666665}",277,414,0 days 09:14:00,0 days 00:13:51,-0.988,-81343.18847005806
172,100000,10,0.0001,225T,200.0,343T,"{'BuyLossPercent': 0.018000000000000002, 'SellLossPercent': 0.018000000000000002}","{'SellTakePercent': 0.01, 'BuyTakePercent': 0.01}",225,343,0 days 07:30:00,0 days 00:45:00,-0.9637,-18482.97541082238
173,100000,10,0.0001,950T,106.66666666666666,272T,"{'BuyLossPercent': 0.002, 'SellLossPercent': 0.002}","{'SellTakePercent': 0.035333333333333335, 'BuyTakePercent': 0.035333333333333335}",950,272,1 days 07:40:00,0 days 00:47:30,-1.0,-5732161.987806076
174,100000,10,0.0001,328T,200.0,237T,"{'BuyLossPercent': 0.007333333333333334, 'SellLossPercent': 0.007333333333333334}","{'SellTakePercent': 0.048, 'BuyTakePercent': 0.048}",328,237,0 days 10:56:00,0 days 01:05:36,-0.755,-27913.580020529218
175,100000,10,0.0001,121T,60.0,272T,"{'BuyLossPercent': 0.018000000000000002, 'SellLossPercent': 0.018000000000000002}","{'SellTakePercent': 0.048, 'BuyTakePercent': 0.048}",121,272,0 days 04:02:00,0 days 00:24:12,-0.9858,-67384.66491642898
176,100000,10,0.0001,380T,106.66666666666666,201T,"{'BuyLossPercent': 0.018000000000000002, 'SellLossPercent': 0.018000000000000002}","{'SellTakePercent': 0.022666666666666665, 'BuyTakePercent': 0.022666666666666665}",380,201,0 days 12:40:00,0 days 00:19:00,-1.0024,-99974.94374899729
177,100000,10,0.0001,121T,60.0,379T,"{'BuyLossPercent': 0.018000000000000002, 'SellLossPercent': 0.018000000000000002}","{'SellTakePercent': 0.01, 'BuyTakePercent': 0.01}",121,379,0 days 04:02:00,0 days 00:24:12,-0.9835,-56341.28922761535
178,100000,10,0.0001,846T,200.0,308T,"{'BuyLossPercent': 0.007333333333333334, 'SellLossPercent': 0.007333333333333334}","{'SellTakePercent': 0.048, 'BuyTakePercent': 0.048}",846,308,1 days 04:12:00,0 days 02:49:12,-0.9483,-79302.11872884103
179,100000,10,0.0001,898T,200.0,60T,"{'BuyLossPercent': 0.012666666666666666, 'SellLossPercent': 0.012666666666666666}","{'SellTakePercent': 0.01, 'BuyTakePercent': 0.01}",898,60,1 days 05:56:00,0 days 00:44:54,-0.998,-131479.29581467505
180,100000,10,0.0001,121T,153.33333333333331,60T,"{'BuyLossPercent': 0.018000000000000002, 'SellLossPercent': 0.018000000000000002}","{'SellTakePercent': 0.022666666666666665, 'BuyTakePercent': 0.022666666666666665}",121,60,0 days 04:02:00,0 days 00:06:03,-0.9975,-75052.15508848334
181,100000,10,0.0001,950T,200.0,450T,"{'BuyLossPercent': 0.007333333333333334, 'SellLossPercent': 0.007333333333333334}","{'SellTakePercent': 0.022666666666666665, 'BuyTakePercent': 0.022666666666666665}",950,450,1 days 07:40:00,0 days 03:10:00,-0.9993,-145174.2925603818
182,100000,10,0.0001,380T,153.33333333333331,450T,"{'BuyLossPercent': 0.002, 'SellLossPercent': 0.002}","{'SellTakePercent': 0.022666666666666665, 'BuyTakePercent': 0.022666666666666665}",380,450,0 days 12:40:00,0 days 01:16:00,-0.9985,-618719.5084509025
183,100000,10,0.0001,432T,106.66666666666666,379T,"{'BuyLossPercent': 0.007333333333333334, 'SellLossPercent': 0.007333333333333334}","{'SellTakePercent': 0.048, 'BuyTakePercent': 0.048}",432,379,0 days 14:24:00,0 days 01:26:24,-0.9862,-132088.06789574624
184,100000,10,0.0001,328T,106.66666666666666,379T,"{'BuyLossPercent': 0.018000000000000002, 'SellLossPercent': 0.018000000000000002}","{'SellTakePercent': 0.01, 'BuyTakePercent': 0.01}",328,379,0 days 10:56:00,0 days 01:05:36,-0.9996,-85569.89510240668
